Date,Baseline,Preprocessing,Preprocessing + IDF
1999-06-30,,,
1999-08-24,,,
1999-10-05,,,
1999-11-16,,,
1999-12-21,,,
2000-02-02,,,
2000-03-21,,,
2000-05-16,0.82,0.55,0.34
2000-06-28,0.83,0.56,0.33
2000-08-22,0.85,0.60,0.38
2000-10-03,0.88,0.66,0.43
2000-11-15,0.90,0.70,0.45
2000-12-19,0.90,0.72,0.44
2001-01-31,0.89,0.72,0.44
2001-03-20,0.87,0.68,0.38
2001-05-15,0.87,0.67,0.35
2001-06-27,0.87,0.69,0.37
2001-08-21,0.88,0.71,0.40
2001-10-02,0.88,0.71,0.38
2001-11-06,0.88,0.72,0.40
2001-12-11,0.89,0.76,0.47
2002-01-30,0.90,0.78,0.48
2002-03-19,0.90,0.76,0.46
2002-05-07,0.90,0.76,0.48
2002-06-26,0.91,0.77,0.53
2002-08-13,0.89,0.72,0.45
2002-09-24,0.90,0.72,0.46
2002-11-06,0.88,0.68,0.41
2002-12-10,0.87,0.67,0.38
2003-01-29,0.88,0.68,0.38
2003-03-18,0.88,0.70,0.41
2003-05-06,0.86,0.65,0.37
2003-06-25,0.84,0.63,0.32
2003-08-12,0.85,0.65,0.36
2003-09-16,0.86,0.67,0.42
2003-10-28,0.88,0.73,0.52
2003-12-09,0.89,0.73,0.54
2004-01-28,0.90,0.76,0.62
2004-03-16,0.91,0.80,0.67
2004-05-04,0.92,0.85,0.72
2004-06-30,0.94,0.87,0.73
2004-08-10,0.94,0.89,0.74
2004-09-21,0.94,0.88,0.69
2004-11-10,0.93,0.87,0.65
2004-12-14,0.94,0.89,0.69
2005-02-02,0.95,0.90,0.71
2005-03-22,0.94,0.89,0.69
2005-05-03,0.95,0.91,0.70
2005-06-30,0.96,0.92,0.73
2005-08-09,0.96,0.93,0.75
2005-09-20,0.96,0.92,0.73
2005-11-01,0.96,0.91,0.69
2005-12-13,0.94,0.87,0.61
2006-01-31,0.93,0.86,0.58
2006-03-28,0.92,0.83,0.54
2006-05-10,0.92,0.82,0.52
2006-06-29,0.92,0.81,0.52
2006-08-08,0.91,0.80,0.51
2006-09-20,0.92,0.82,0.57
2006-10-25,0.93,0.83,0.64
2006-12-12,0.94,0.87,0.70
2007-01-31,0.94,0.86,0.67
2007-03-21,0.94,0.87,0.68
2007-05-09,0.94,0.89,0.73
2007-06-28,0.94,0.89,0.73
2007-08-07,0.94,0.89,0.73
2007-09-18,0.92,0.85,0.66
2007-10-31,0.92,0.83,0.62
2007-12-11,0.91,0.82,0.58
2008-01-30,0.89,0.81,0.55
2008-03-18,0.89,0.81,0.59
2008-04-30,0.88,0.81,0.59
2008-06-25,0.88,0.81,0.58
2008-08-05,0.88,0.81,0.58
2008-09-16,0.90,0.85,0.66
2008-10-29,0.89,0.82,0.61
2008-12-16,0.88,0.78,0.55
2009-01-28,0.90,0.79,0.59
2009-03-18,0.91,0.79,0.53
2009-04-29,0.91,0.79,0.49
2009-06-24,0.92,0.79,0.51
2009-08-12,0.92,0.80,0.52
2009-09-23,0.92,0.80,0.51
2009-11-04,0.94,0.84,0.59
2009-12-16,0.96,0.89,0.64
2010-01-27,0.96,0.90,0.67
2010-03-16,0.96,0.90,0.69
2010-04-28,0.96,0.92,0.73
2010-06-23,0.96,0.91,0.71
2010-08-10,0.95,0.90,0.70
2010-09-21,0.95,0.89,0.71
2010-11-03,0.94,0.89,0.69
2010-12-14,0.95,0.91,0.74
2011-01-26,0.95,0.91,0.76
2011-03-15,0.95,0.91,0.76
2011-04-27,0.96,0.92,0.75
2011-06-22,0.96,0.92,0.73
2011-08-09,0.96,0.93,0.72
2011-09-21,0.96,0.92,0.69
2011-11-02,0.97,0.93,0.68
2011-12-13,0.97,0.93,0.65
2012-01-25,0.97,0.92,0.64
2012-03-13,0.97,0.93,0.65
2012-04-25,0.97,0.93,0.67
2012-06-20,0.97,0.93,0.69
2012-08-01,0.97,0.93,0.69
2012-09-13,0.97,0.93,0.67
2012-10-24,0.97,0.93,0.69
2012-12-12,0.97,0.93,0.68
2013-01-30,0.97,0.93,0.67
2013-03-20,0.97,0.94,0.69
2013-05-01,0.97,0.94,0.69
2013-06-19,0.98,0.95,0.72
2013-07-31,0.98,0.96,0.75
2013-09-18,0.99,0.98,0.77
2013-10-30,0.99,0.98,0.79
2013-12-18,0.99,0.98,0.81
2014-01-29,0.99,0.99,0.84
2014-03-19,0.99,0.98,0.82
2014-04-30,0.99,0.99,0.81
2014-06-18,0.99,0.99,0.81
2014-07-30,0.99,0.99,0.81
2014-09-17,0.99,0.99,0.85
2014-10-29,0.99,0.98,0.81
2014-12-17,0.99,0.98,0.81
2015-01-28,0.99,0.98,0.79
2015-03-18,0.99,0.98,0.79
2015-04-29,0.98,0.97,0.76
2015-06-17,0.98,0.97,0.76
2015-07-29,0.98,0.97,0.75
2015-09-17,0.98,0.97,0.74
2015-10-28,0.99,0.98,0.77
2015-12-16,0.98,0.97,0.74
2016-01-27,0.98,0.96,0.73
2016-03-16,0.98,0.97,0.75
